|   1   |      2       |       3      |       4      |       5      |       6      |       7      |       8      |       9      |       10     |       11     |       12     |      13       |
+-------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+

                       А. Балансовые счета
     Актив
|45812           7440563        5766133       13206696         340277         381874         722151         263939         258761         522700        7516901        5889246       13406147|
|45814            338649              0         338649          18142              0          18142          14410              0          14410         342381              0         342381|
|45815           5602221         696981        6299202         616305          66703         683008         330653          45121         375774        5887873         718563        6606436|
|45817               147            117            264             18             12             30             10              4             14            155            125            280|
|45912            310354         247590         557944           7237          21446          28683           3916          10586          14502         313675         258450         572125|
|45914             17130              0          17130           1801              0           1801           1282              0           1282          17649              0          17649|
|45915            355571          47827         403398         119434           9514         128948          98941           5855         104796         376064          51486         427550|
|45917                 1             17             18             40              1             41             40              0             40              1             18             19|
|47002           1400489              0        1400489       24059203              0       24059203       24991619              0       24991619         468073              0         468073|
|47101           4149865              0        4149865         764404              0         764404         684738              0         684738        4229531              0        4229531|
|47303                 0        1158132        1158132              0          13867          13867              0        1171999        1171999              0              0              0|
|47402               764              0            764              0              0              0              0              0              0            764              0            764|
|47406                 0         277314         277314       16833775       17829961       34663736       16831075       17821891       34652966           2700         285384         288084|
|47408           1507048              0        1507048       82761255       76679426      159440681       83427251       76679426      160106677         841052              0         841052|
|47413               144              0            144           1854              0           1854           1867              0           1867            131              0            131|
|47415              1961              0           1961              0              0              0              0              0              0           1961              0           1961|
|47417                72            429            501          45898           1298          47196          45970           1052          47022              0            675            675|
|47423           2089962        1031318        3121280       16219944        3585065       19805009       16209630        4337035       20546665        2100276         279348        2379624|
|47427           1340191         517566        1857757        2123627         138104        2261731        2275482          82984        2358466        1188336         572686        1761022|
|47431             44757         358741         403498              0          31851          31851              0          40475          40475          44757         350117         394874|
|47801            560032         301368         861400            520          18619          19139           6619          78550          85169         553933         241437         795370|
|47802            196872           1832         198704              0            120            120           9924            102          10026         186948           1850         188798|
|47803             25178              0          25178              0              0              0              0              0              0          25178              0          25178|
|50205            381080         990811        1371891       11996157        3456160       15452317        9301946        4065059       13367005        3075291         381912        3457203|
|50206             72921              0          72921         262768              0         262768         104679              0         104679         231010              0         231010|
|50207           1912504              0        1912504       11393872              0       11393872       10692217              0       10692217        2614159              0        2614159|
|50208          10337331              0       10337331        6589396              0        6589396        6093915              0        6093915       10832812              0       10832812|
|50209                 0              0              0              0        1069413        1069413              0        1069413        1069413              0              0              0|
|50211           1692571        1554214        3246785        2455461        4308764        6764225        2356198        4106886        6463084        1791834        1756092        3547926|
|50218           5525746         797412        6323158       23246992        6790088       30037080       25677614        7016410       32694024        3095124         571090        3666214|
|50221            130951              0         130951          76302              0          76302          47073              0          47073         160180              0         160180|
|50308             34789              0          34789            273              0            273          22078              0          22078          12984              0          12984|
|50505            100198              0         100198              0              0              0              0              0              0         100198              0         100198|
|50705                 0              0              0        1504423              0        1504423        1428368              0        1428368          76055              0          76055|
|50706          44694887              0       44694887         570779              0         570779         620870              0         620870       44644796              0       44644796|
|50708                 0         939711         939711              0          65053          65053              0          36971          36971              0         967793         967793|
|50718            232335              0         232335        1409054              0        1409054        1026104              0        1026104         615285              0         615285|
|50721                 0              0              0          16325              0          16325          16325              0          16325              0              0              0|
|51406             70000              0          70000              0              0              0              0              0              0          70000              0          70000|
|51407             40000              0          40000              0              0              0              0              0              0          40000              0          40000|
|51507             60000              0          60000          30810              0          30810              0              0              0          90810              0          90810|
|51509             31500              0          31500              0              0              0          31500              0          31500              0              0              0|
|52503            217514          10284         227798           7900            632           8532          52137            720          52857         173277          10196         183473|
|52601             28144              0          28144         157157              0         157157          70260              0          70260         115041              0         115041|
|60101            166619              0         166619         190000              0         190000              0              0              0         356619              0         356619|
|60102            122525              0         122525              0              0              0              0              0              0         122525              0         122525|
|60202           2810573              0        2810573              0              0              0              0              0              0        2810573              0        2810573|
|60204                 0           2423           2423              0            175            175              0            112            112              0           2486           2486|
|60302            579578              0         579578          76755              0          76755          39886              0          39886         616447              0         616447|
|60306              2417              0           2417            250              0            250            245              0            245           2422              0           2422|
|60308             27336            174          27510          16945            118          17063          20184             81          20265          24097            211          24308|
|60310            218566              0         218566          59034              0          59034          66623              0          66623         210977              0         210977|
|60312            887794              0         887794         602006              0         602006         595279              0         595279         894521              0         894521|
|60314             15226         408099         423325            308          17956          18264             64          11116          11180          15470         414939         430409|
|60315              5469              0           5469             91              0             91           5560              0           5560              0              0              0|
|60323           1752907         152977        1905884          74508          24209          98717         246084           7362         253446        1581331         169824        1751155|
|60401          15571640              0       15571640         266229              0         266229         108324              0         108324       15729545              0       15729545|
|60404            278132              0         278132              0              0              0              0              0              0         278132              0         278132|
|60410             45885              0          45885              0              0              0              0              0              0          45885              0          45885|
|60411            512181              0         512181              0              0              0              0              0              0         512181              0         512181|
|60412              2998              0           2998              0              0              0              0              0              0           2998              0           2998|
|60413             21152              0          21152              0              0              0              0              0              0          21152              0          21152|
|60701           1441780              0        1441780          31461              0          31461          24030              0          24030        1449211              0        1449211|
|60702              4478              0           4478              0              0              0              0              0              0           4478              0           4478|
|60901            612981              0         612981              0              0              0              0              0              0         612981              0         612981|
|61002              7918              0           7918           1375              0           1375           1922              0           1922           7371              0           7371|
|61008            174759              0         174759          25057              0          25057          23017              0          23017         176799              0         176799|
|61009             86586              0          86586          27287              0          27287          57559              0          57559          56314              0          56314|
|61010               106              0            106             33              0             33             33              0             33            106              0            106|
